Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,ETF
990,DEEP SOURCE HOLDINGS LTD,Industrials,Equity,"3,045,045.05",0,"3,045,045.05","28,730,000.00",0.11,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.83,--,IEFA
9409,TV ASAHI HOLDINGS CORP,Communication,Equity,"3,022,079.44",0,"3,022,079.44","141,100.00",21.42,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2979,SOSILA LOGISTICS REIT INC,Real Estate,Equity,"3,022,788.75",0,"3,022,788.75","3,743.00",807.58,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
MARR,MARR,Consumer Staples,Equity,"3,022,994.77",0,"3,022,994.77","302,125.00",10.01,Italy,Borsa Italiana,USD,0.85,--,IEFA
YNGA,YOUNG AND COS BREWERY PLC,Consumer Discretionary,Equity,"3,025,735.16",0,"3,025,735.16","270,553.00",11.18,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
PNL,POSTNL NV,Industrials,Equity,"2,995,570.94",0,"2,995,570.94","2,409,816.00",1.24,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
SFL,SAFILO GROUP,Consumer Discretionary,Equity,"2,999,219.58",0,"2,999,219.58","1,455,923.00",2.06,Italy,Borsa Italiana,USD,0.85,--,IEFA
G92,CHINA AVIATION OIL CORP LTD,Energy,Equity,"2,975,356.65",0,"2,975,356.65","1,817,900.00",1.64,Singapore,Singapore Exchange,USD,1.27,--,IEFA
NCC,NCC GROUP PLC,Information Technology,Equity,"2,981,259.44",0,"2,981,259.44","1,818,964.00",1.64,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
4549,EIKEN CHEMICAL LTD,Health Care,Equity,"2,987,158.65",0,"2,987,158.65","150,300.00",19.87,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ANTIN,ANTIN INFRASTRUCTURE PARTNERS,Financials,Equity,"2,987,404.98",0,"2,987,404.98","228,222.00",13.09,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
9551,METAWATER LTD,Industrials,Equity,"2,957,091.56",0,"2,957,091.56","126,700.00",23.34,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ALTA,ALTAREA,Real Estate,Equity,"2,966,262.62",0,"2,966,262.62","21,723.00",136.55,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
5911,YOKOGAWA BRIDGE HOLDINGS CORP,Industrials,Equity,"2,942,861.82",0,"2,942,861.82","158,200.00",18.6,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
HSN,HANSEN TECHNOLOGIES LTD,Information Technology,Equity,"2,951,937.82",0,"2,951,937.82","822,688.00",3.59,Australia,Asx - All Markets,USD,1.4,--,IEFA
1419,TAMA HOME LTD,Consumer Discretionary,Equity,"2,921,383.35",0,"2,921,383.35","129,000.00",22.65,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
THG,THG PLC,Consumer Discretionary,Equity,"2,923,288.57",0,"2,923,288.57","5,606,110.00",0.52,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
6588,TOSHIBA TEC CORP,Information Technology,Equity,"2,917,484.02",0,"2,917,484.02","164,000.00",17.79,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
DIS,DAMICO INTERNATIONAL SHIPPING SA,Energy,Equity,"2,918,090.33",0,"2,918,090.33","319,246.00",9.14,Italy,Borsa Italiana,USD,0.85,--,IEFA
2379,DIP CORP,Industrials,Equity,"2,885,231.03",0,"2,885,231.03","249,600.00",11.56,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
9715,TRANSCOSMOS INC,Industrials,Equity,"2,899,414.15",0,"2,899,414.15","115,500.00",25.1,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
5186,NITTA CORP,Industrials,Equity,"2,848,908.63",0,"2,848,908.63","100,500.00",28.35,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
DLEA,DELEK AUTOMOTIVE SYSTEMS LTD,Consumer Discretionary,Equity,"2,849,571.33",0,"2,849,571.33","384,705.00",7.41,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
7821,MAEDA KOSEN LTD,Materials,Equity,"2,861,579.89",0,"2,861,579.89","241,500.00",11.85,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
GFT,GFT TECHNOLOGIES,Information Technology,Equity,"2,833,138.58",0,"2,833,138.58","126,806.00",22.34,Germany,Xetra,USD,0.85,01-Jan-98,IEFA
4919,MILBON LTD,Consumer Staples,Equity,"2,843,478.53",0,"2,843,478.53","164,500.00",17.29,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ABG,ABACUS GROUP UNIT,Real Estate,Equity,"2,820,833.97",0,"2,820,833.97","3,787,127.00",0.74,Australia,Asx - All Markets,USD,1.4,--,IEFA
VLA,VALNEVA,Health Care,Equity,"2,821,315.19",0,"2,821,315.19","916,533.00",3.08,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
6737,EIZO CORP,Information Technology,Equity,"2,800,133.55",0,"2,800,133.55","205,600.00",13.62,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
5975,TOPRE CORP,Consumer Discretionary,Equity,"2,801,190.59",0,"2,801,190.59","181,500.00",15.43,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
MAF,MA FINANCIAL GROUP LTD,Financials,Equity,"2,802,299.69",0,"2,802,299.69","538,944.00",5.2,Australia,Asx - All Markets,USD,1.4,--,IEFA
GLJ,GRENKE N AG,Financials,Equity,"2,804,773.76",0,"2,804,773.76","179,149.00",15.66,Germany,Xetra,USD,0.85,--,IEFA
6750,ELECOM LTD,Information Technology,Equity,"2,790,407.89",0,"2,790,407.89","268,300.00",10.4,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
7226,KYOKUTO KAIHATSU KOGYO LTD,Industrials,Equity,"2,759,623.30",0,"2,759,623.30","156,400.00",17.64,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2281,PRIMA MEAT PACKERS LTD,Consumer Staples,Equity,"2,759,771.96",0,"2,759,771.96","168,500.00",16.38,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
REG1V,REVENIO GROUP,Health Care,Equity,"2,764,362.79",0,"2,764,362.79","141,467.00",19.54,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.85,--,IEFA
8278,FUJI (EHIME) LTD,Consumer Staples,Equity,"2,739,567.23",0,"2,739,567.23","201,900.00",13.57,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
POS,PORR AG,Industrials,Equity,"2,755,469.66",0,"2,755,469.66","58,374.00",47.2,Austria,Wiener Boerse Ag,USD,0.85,--,IEFA
4776,CYBOZU INC,Information Technology,Equity,"2,720,451.04",0,"2,720,451.04","198,100.00",13.73,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
9672,TOKYOTOKEIBA LTD,Consumer Discretionary,Equity,"2,722,353.46",0,"2,722,353.46","74,000.00",36.79,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
636,KLN LOGISTICS GROUP LTD,Industrials,Equity,"2,724,105.94",0,"2,724,105.94","3,256,887.00",0.84,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.83,--,IEFA
7734,RIKEN KEIKI LTD,Information Technology,Equity,"2,702,308.73",0,"2,702,308.73","125,800.00",21.48,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2585,LIFEDRINK COMPANY INC,Consumer Staples,Equity,"2,712,630.32",0,"2,712,630.32","300,500.00",9.03,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ACAD,ACADEMEDIA,Consumer Discretionary,Equity,"2,719,153.20",0,"2,719,153.20","240,578.00",11.3,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
AMRM,AMRAM AVRAHAM CONSTRUCTION COMPANY,Real Estate,Equity,"2,685,156.91",0,"2,685,156.91","193,396.00",13.88,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
1965,TECHNO RYOWA LTD,Industrials,Equity,"2,698,403.10",0,"2,698,403.10","65,800.00",41.01,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
RSKD,RISKIFIED LTD CLASS A,Information Technology,Equity,"2,665,305.80",0,"2,665,305.80","575,660.00",4.63,Israel,NYSE,USD,1,--,IEFA
6474,NACHI-FUJIKOSHI CORP,Industrials,Equity,"2,682,859.30",0,"2,682,859.30","86,300.00",31.09,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
7943,NICHIHA CORP,Industrials,Equity,"2,648,083.40",0,"2,648,083.40","127,000.00",20.85,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
