Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,ETF
QCOM,QUALCOMM INC,Information Technology,Equity,"541,478,949.12",1.09,"541,478,949.12","3,937,456.00",137.52,United States,NASDAQ,USD,1.00,QUAL
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"536,385,741.51",1.08,"536,385,741.51","14,970,297.00",35.83,United States,NYSE,USD,1.00,QUAL
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"493,192,828.80",0.99,"493,192,828.80","848,460.00",581.28,United States,NYSE,USD,1.00,QUAL
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"487,047,559.04",0.98,"487,047,559.04","10,478,648.00",46.48,United States,NYSE,USD,1.00,QUAL
GRMN,GARMIN LTD,Consumer Discretionary,Equity,"466,024,922.88",0.93,"466,024,922.88","1,742,019.00",267.52,United States,NYSE,USD,1.00,QUAL
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"456,749,506.35",0.92,"456,749,506.35","3,161,115.00",144.49,United States,NYSE,USD,1.00,QUAL
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"451,714,291.26",0.91,"451,714,291.26","2,315,771.00",195.06,United States,NYSE,USD,1.00,QUAL
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"447,573,721.08",0.90,"447,573,721.08","1,383,621.00",323.48,United States,NYSE,USD,1.00,QUAL
LIN,LINDE PLC,Materials,Equity,"435,692,451.15",0.87,"435,692,451.15","874,621.00",498.15,United States,NASDAQ,USD,1.00,QUAL
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"420,192,403.28",0.84,"420,192,403.28","2,076,152.00",202.39,United States,NASDAQ,USD,1.00,QUAL
ITW,ILLINOIS TOOL INC,Industrials,Equity,"409,107,530.28",0.82,"409,107,530.28","1,500,321.00",272.68,United States,NYSE,USD,1.00,QUAL
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"402,058,951.08",0.81,"402,058,951.08","842,467.00",477.24,United States,NYSE,USD,1.00,QUAL
DHI,D R HORTON INC,Consumer Discretionary,Equity,"376,862,184.60",0.76,"376,862,184.60","2,457,690.00",153.34,United States,NYSE,USD,1.00,QUAL
FTNT,FORTINET INC,Information Technology,Equity,"370,090,043.40",0.74,"370,090,043.40","4,480,509.00",82.60,United States,NASDAQ,USD,1.00,QUAL
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"366,380,372.88",0.73,"366,380,372.88","746,253.00",490.96,United States,NASDAQ,USD,1.00,QUAL
KO,COCA-COLA,Consumer Staples,Equity,"357,456,070.56",0.72,"357,456,070.56","4,735,772.00",75.48,United States,NYSE,USD,1.00,QUAL
TPL,TEXAS PACIFIC LAND CORP,Energy,Equity,"345,842,783.40",0.69,"345,842,783.40","795,370.00",434.82,United States,NYSE,USD,1.00,QUAL
OKLO,OKLO INC CLASS A,Utilities,Equity,"331,477,589.97",0.66,"331,477,589.97","4,865,369.00",68.13,United States,NYSE,USD,1.00,QUAL
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Equity,"330,617,043.12",0.66,"330,617,043.12","1,636,556.00",202.02,United States,NYSE,USD,1.00,QUAL
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"323,372,006.58",0.65,"323,372,006.58","216,903.00","1,490.86",United States,NASDAQ,USD,1.00,QUAL
PLD,PROLOGIS REIT INC,Real Estate,Equity,"293,043,992.25",0.59,"293,043,992.25","2,020,575.00",145.03,United States,NYSE,USD,1.00,QUAL
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,"292,722,175.95",0.59,"292,722,175.95","1,595,651.00",183.45,United States,NASDAQ,USD,1.00,QUAL
